iter	Passed	Remaining
801	2307	569
802	2309	566
803	2312	563
804	2314	560
805	2316	557
806	2318	554
807	2321	551
808	2323	548
809	2325	545
810	2327	542
811	2329	539
812	2332	536
813	2334	533
814	2336	530
815	2338	527
816	2341	524
817	2343	521
818	2345	518
819	2348	515
820	2350	512
821	2352	509
822	2354	506
823	2357	503
824	2359	500
825	2361	497
826	2363	494
827	2366	491
828	2368	488
829	2370	485
830	2373	482
831	2375	479
832	2377	476
833	2379	473
834	2382	470
835	2384	467
836	2386	464
837	2388	461
838	2391	458
839	2393	455
840	2395	452
841	2397	449
842	2400	446
843	2402	444
844	2404	441
845	2406	438
846	2409	435
847	2411	432
848	2413	429
849	2415	426
850	2418	423
851	2420	420
852	2422	417
853	2424	414
854	2426	411
855	2429	408
856	2431	405
857	2433	402
858	2435	399
859	2438	396
860	2440	393
861	2442	391
862	2444	388
863	2447	385
864	2449	382
865	2451	379
866	2454	376
867	2456	373
868	2458	370
869	2461	367
870	2463	364
871	2465	361
872	2467	359
873	2470	356
874	2472	353
875	2474	350
876	2476	347
877	2478	344
878	2481	341
879	2483	338
880	2485	335
881	2487	332
882	2489	329
883	2492	327
884	2494	324
885	2497	321
886	2499	318
887	2501	315
888	2503	312
889	2506	309
890	2508	306
891	2511	304
892	2513	301
893	2515	298
894	2517	295
895	2520	292
896	2522	289
897	2524	286
898	2526	283
899	2529	281
900	2531	278
901	2533	275
902	2535	272
903	2537	269
904	2540	266
905	2542	263
906	2544	260
907	2546	258
908	2549	255
909	2551	252
910	2553	249
911	2555	246
912	2558	243
913	2560	240
914	2562	238
915	2564	235
916	2567	232
917	2569	229
918	2571	226
919	2573	223
920	2575	220
921	2578	218
922	2580	215
923	2582	212
924	2584	209
925	2586	206
926	2589	203
927	2591	201
928	2593	198
929	2595	195
930	2598	192
931	2600	189
932	2602	186
933	2604	184
934	2606	181
935	2609	178
936	2611	175
937	2613	172
938	2616	169
939	2618	167
940	2620	164
941	2622	161
942	2625	158
943	2627	155
944	2629	153
945	2631	150
946	2633	147
947	2636	144
948	2638	141
949	2640	138
950	2642	136
951	2645	133
952	2647	130
953	2649	127
954	2652	124
955	2654	122
956	2656	119
957	2658	116
958	2661	113
959	2663	110
960	2666	108
961	2668	105
962	2670	102
963	2672	99
964	2674	97
965	2677	94
966	2679	91
967	2681	88
968	2683	85
969	2686	83
970	2688	80
971	2690	77
972	2693	74
973	2695	71
974	2697	69
975	2700	66
976	2702	63
977	2704	60
978	2706	58
979	2709	55
980	2711	52
981	2713	49
982	2716	46
983	2718	44
984	2720	41
985	2723	38
986	2725	35
987	2727	33
988	2729	30
989	2732	27
990	2734	24
991	2736	22
992	2738	19
993	2740	16
994	2743	13
995	2745	11
996	2747	8
997	2750	5
998	2752	2
999	2754	0
